comparison,estimate,conf.low,conf.high,adj.p.value,condition,trait,experiment
ECA1378-ECA1377,-17.700763206423087,-29.167940112342166,-6.233586300504008,4.084450955721408e-5,zinc,mean.TOF,sqst5_del
ECA1379-ECA1377,-15.157400011007157,-26.37389033882438,-3.940909683189931,7.396807436955699e-4,zinc,mean.TOF,sqst5_del
ECA1380-ECA1377,-15.01055210245805,-26.294736720058733,-3.7263674848573665,9.929181708974166e-4,zinc,mean.TOF,sqst5_del
ECA838-ECA1377,9.355324866426177,-2.0361602756329464,20.746810008485298,0.22466617468852013,zinc,mean.TOF,sqst5_del
ECA859-ECA1377,-67.77954154843592,-79.68518422851027,-55.873898868361564,1.2656542480726785e-14,zinc,mean.TOF,sqst5_del
N2-ECA1377,-19.389061103026958,-30.743976374976494,-8.03414583107742,2.5814724915473874e-6,zinc,mean.TOF,sqst5_del
ECA1379-ECA1378,2.543363195415931,-8.749991829726397,13.836718220558257,0.99972744488001,zinc,mean.TOF,sqst5_del
ECA1380-ECA1378,2.690211103965038,-8.670380206965302,14.05080241489538,0.9995732275231042,zinc,mean.TOF,sqst5_del
ECA838-ECA1378,27.056088072849263,15.588911166930185,38.52326497876834,4.0137893009273284e-12,zinc,mean.TOF,sqst5_del
ECA859-ECA1378,-50.07877834201283,-62.056864168867556,-38.10069251515811,1.2656542480726785e-14,zinc,mean.TOF,sqst5_del
N2-ECA1378,-1.6882978966038689,-13.119147090038398,9.74255129683066,0.9999946252417975,zinc,mean.TOF,sqst5_del
ECA1380-ECA1379,0.14684790854910723,-10.960651540758082,11.254347357856297,1,zinc,mean.TOF,sqst5_del
ECA838-ECA1379,24.512724877433335,13.29623454961611,35.72921520525056,2.0143908763259333e-10,zinc,mean.TOF,sqst5_del
ECA859-ECA1379,-52.62214153742876,-64.36045696843809,-40.883826106419434,1.2656542480726785e-14,zinc,mean.TOF,sqst5_del
N2-ECA1379,-4.2316610920198,-15.411009121552485,6.947686937512887,0.9800037240458219,zinc,mean.TOF,sqst5_del
ECA838-ECA1380,24.365876968884226,13.081692351283543,35.65006158648491,3.5579250656780914e-10,zinc,mean.TOF,sqst5_del
ECA859-ECA1380,-52.768989445977866,-64.5720067029317,-40.96597218902403,1.2656542480726785e-14,zinc,mean.TOF,sqst5_del
N2-ECA1380,-4.378509000568907,-15.625774871681536,6.868756870543721,0.9754954301314043,zinc,mean.TOF,sqst5_del
ECA859-ECA838,-77.1348664148621,-89.04050909493645,-65.22922373478775,1.2656542480726785e-14,zinc,mean.TOF,sqst5_del
N2-ECA838,-28.744385969453134,-40.09930124140267,-17.389470697503597,2.013944566670034e-13,zinc,mean.TOF,sqst5_del
N2-ECA859,48.39048044540896,36.51982356733322,60.261137323484704,1.2656542480726785e-14,zinc,mean.TOF,sqst5_del
ECA1371-CB4856,12.368959329787739,-8.03307147317011,32.77099013274559,0.6791283011930311,zinc,q10.TOF,sqst5_del
ECA1372-CB4856,27.783221770080182,7.712953415520506,47.85349012463986,4.624245781704728e-4,zinc,q10.TOF,sqst5_del
ECA1373-CB4856,35.96295392957741,15.7644397439012,56.16146811525362,6.943558893413027e-7,zinc,q10.TOF,sqst5_del
ECA1377-CB4856,30.22943200041571,10.0309178147395,50.427946186091916,8.575479446226719e-5,zinc,q10.TOF,sqst5_del
ECA1378-CB4856,9.405817967636667,-10.72786371509108,29.539499650364412,0.917236086968777,zinc,q10.TOF,sqst5_del
ECA1379-CB4856,28.72871398202546,8.396078042716912,49.06134992133401,3.047056526230829e-4,zinc,q10.TOF,sqst5_del
ECA1380-CB4856,28.72641922952392,8.896522041316015,48.55631641773182,1.7896702441322354e-4,zinc,q10.TOF,sqst5_del
ECA838-CB4856,16.982288313274992,-3.087980041284684,37.052556667834665,0.18780964110422138,zinc,q10.TOF,sqst5_del
ECA859-CB4856,-16.68901165301763,-37.79679567001969,4.418772363984427,0.2761828936526304,zinc,q10.TOF,sqst5_del
N2-CB4856,25.929755631435725,5.664940547994515,46.19457071487693,0.0019716337893914693,zinc,q10.TOF,sqst5_del
ECA1372-ECA1371,15.414262440292443,-4.987768362665406,35.81629324325029,0.3432260227843512,zinc,q10.TOF,sqst5_del
ECA1373-ECA1371,23.59399459978967,3.0657904803406346,44.12219871923871,0.010039830515887305,zinc,q10.TOF,sqst5_del
ECA1377-ECA1371,17.86047267062797,-2.6677314488210655,38.38867679007701,0.15660883156132632,zinc,q10.TOF,sqst5_del
ECA1378-ECA1371,-2.963141362151072,-23.427557482876537,17.50127475857439,0.9999955567090115,zinc,q10.TOF,sqst5_del
ECA1379-ECA1371,16.359754652237726,-4.300431051217675,37.01994035569312,0.27405137531732604,zinc,q10.TOF,sqst5_del
ECA1380-ECA1371,16.357459899736178,-3.8081546843943315,36.52307448386669,0.2409413866294018,zinc,q10.TOF,sqst5_del
ECA838-ECA1371,4.613328983487255,-15.788701819470594,25.015359786445103,0.9997175143628192,zinc,q10.TOF,sqst5_del
ECA859-ECA1371,-29.05797098280537,-50.48145658084027,-7.634485384770468,6.888106837373842e-4,zinc,q10.TOF,sqst5_del
N2-ECA1371,13.560796301647986,-7.032647301277375,34.154239904573345,0.5592833612230199,zinc,q10.TOF,sqst5_del
ECA1373-ECA1372,8.179732159497227,-12.018782026178982,28.378246345173437,0.9676117215672918,zinc,q10.TOF,sqst5_del
ECA1377-ECA1372,2.4462102303355264,-17.752303955340683,22.644724416011737,0.9999992057437341,zinc,q10.TOF,sqst5_del
ECA1378-ECA1372,-18.377403802443517,-38.511085485171265,1.7562778802842303,0.1106673963503444,zinc,q10.TOF,sqst5_del
ECA1379-ECA1372,0.9454922119452798,-19.38714372736327,21.278128151253828,0.9999999999370973,zinc,q10.TOF,sqst5_del
ECA1380-ECA1372,0.9431974594437351,-18.88669972876417,20.77309464765164,0.9999999999212235,zinc,q10.TOF,sqst5_del
ECA838-ECA1372,-10.80093345680519,-30.871201811364866,9.269334897754486,0.8160355252513185,zinc,q10.TOF,sqst5_del
ECA859-ECA1372,-44.47223342309781,-65.58001744009987,-23.364449406095755,1.0874605660404768e-9,zinc,q10.TOF,sqst5_del
N2-ECA1372,-1.8534661386444578,-22.118281222085667,18.411348944796753,0.9999999488529461,zinc,q10.TOF,sqst5_del
ECA1377-ECA1373,-5.7335219291617,-26.059472799757806,14.592428941434406,0.9980551894633038,zinc,q10.TOF,sqst5_del
ECA1378-ECA1373,-26.557135961940745,-46.818662103530635,-6.295609820350855,0.0012969187640933244,zinc,q10.TOF,sqst5_del
ECA1379-ECA1373,-7.234239947551947,-27.693477170023982,13.224997274920087,0.987987172926283,zinc,q10.TOF,sqst5_del
ECA1380-ECA1373,-7.236534700053491,-27.19622222215211,12.723152822045128,0.9854798888151227,zinc,q10.TOF,sqst5_del
ECA838-ECA1373,-18.980665616302417,-39.17917980197863,1.2178485693737926,0.0876352510541556,zinc,q10.TOF,sqst5_del
ECA859-ECA1373,-52.65196558259504,-73.88172887833932,-31.422202286850762,3.40394379350073e-13,zinc,q10.TOF,sqst5_del
N2-ECA1373,-10.033198298141684,-30.425035730089544,10.358639133806175,0.8872815777100298,zinc,q10.TOF,sqst5_del
ECA1378-ECA1377,-20.82361403277904,-41.08514017436893,-0.5620878911891509,0.03795545623520091,zinc,q10.TOF,sqst5_del
ECA1379-ECA1377,-1.5007180183902467,-21.95995524086228,18.95851920408179,0.9999999941938593,zinc,q10.TOF,sqst5_del
ECA1380-ECA1377,-1.5030127708917913,-21.462700292990412,18.456674751206826,0.9999999924737628,zinc,q10.TOF,sqst5_del
ECA838-ECA1377,-13.247143687140715,-33.44565787281692,6.9513704985354945,0.5654779497168818,zinc,q10.TOF,sqst5_del
ECA859-ECA1377,-46.91844365343334,-68.14820694917762,-25.688680357689066,1.1639211816572015e-10,zinc,q10.TOF,sqst5_del
N2-ECA1377,-4.299676368979984,-24.691513800927844,16.092161062967875,0.9998498720072082,zinc,q10.TOF,sqst5_del
ECA1379-ECA1378,19.322896014388796,-1.072337510085223,39.71812953886281,0.08180461423536722,zinc,q10.TOF,sqst5_del
ECA1380-ECA1378,19.32060126188725,-0.5734754639189248,39.21467798769343,0.06581799468549299,zinc,q10.TOF,sqst5_del
ECA838-ECA1378,7.576470345638327,-12.55721133708942,27.710152028366075,0.9808532182681817,zinc,q10.TOF,sqst5_del
ECA859-ECA1378,-26.094829620654295,-47.26291910425613,-4.926740137052459,0.0036218823694099678,zinc,q10.TOF,sqst5_del
N2-ECA1378,16.52393766379906,-3.803683855784424,36.85155918338255,0.23811290765472815,zinc,q10.TOF,sqst5_del
ECA1380-ECA1379,-0.00229475250154465,-20.097698080410087,20.093108575406998,1,zinc,q10.TOF,sqst5_del
ECA838-ECA1379,-11.746425668750469,-32.07906160805902,8.58621027055808,0.7402974058078684,zinc,q10.TOF,sqst5_del
ECA859-ECA1379,-45.41772563504309,-66.77513555583708,-24.060315714249104,7.154400405440242e-10,zinc,q10.TOF,sqst5_del
N2-ECA1379,-2.7989583505897375,-23.32365427482911,17.72573757364964,0.9999975002107193,zinc,q10.TOF,sqst5_del
ECA838-ECA1380,-11.744130916248924,-31.57402810445683,8.085766271958981,0.7097215220449988,zinc,q10.TOF,sqst5_del
ECA859-ECA1380,-45.41543088254155,-66.29479142780882,-24.53607033727428,2.504513263446029e-10,zinc,q10.TOF,sqst5_del
N2-ECA1380,-2.796663598088193,-22.823442696009117,17.230115499832735,0.9999968596708113,zinc,q10.TOF,sqst5_del
ECA859-ECA838,-33.67129996629262,-54.77908398329468,-12.563515949290565,1.7582971753027365e-5,zinc,q10.TOF,sqst5_del
N2-ECA838,8.947467318160731,-11.317347765280479,29.21228240160194,0.9420366523780062,zinc,q10.TOF,sqst5_del
N2-ECA859,42.618767284453355,21.325913914121934,63.91162065478478,9.700600878126409e-9,zinc,q10.TOF,sqst5_del
ECA1371-CB4856,14.270230513442105,-2.9627837466625664,31.503244773546776,0.21411864824793858,zinc,q25.TOF,sqst5_del
ECA1372-CB4856,22.438356030599852,5.642133902936884,39.23457815826282,9.174989571988368e-4,zinc,q25.TOF,sqst5_del
ECA1373-CB4856,18.432935744500426,1.4821344142340678,35.383737074766785,0.020242953283900356,zinc,q25.TOF,sqst5_del
ECA1377-CB4856,28.184685451026716,11.233884120760358,45.135486781293075,5.630403200229672e-6,zinc,q25.TOF,sqst5_del
ECA1378-CB4856,8.74167965867706,-8.262992020737311,25.746351338091433,0.8556890624566879,zinc,q25.TOF,sqst5_del
ECA1379-CB4856,19.559649157515658,2.713033210859969,36.40626510417135,0.008747703395863282,zinc,q25.TOF,sqst5_del
ECA1380-CB4856,23.480676950735663,6.634061004079975,40.32729289739135,4.033145957397233e-4,zinc,q25.TOF,sqst5_del
ECA838-CB4856,23.84040393660723,6.942274417636543,40.73853345557792,3.144755223493112e-4,zinc,q25.TOF,sqst5_del
ECA859-CB4856,-47.13727388185912,-64.75697716490681,-29.517570598811435,4.150013666048835e-13,zinc,q25.TOF,sqst5_del
N2-CB4856,12.169631236978608,-4.78117009328775,29.12043256724497,0.42291250594145213,zinc,q25.TOF,sqst5_del
ECA1372-ECA1371,8.168125517157748,-8.747142068610223,25.08339310292572,0.898966595558187,zinc,q25.TOF,sqst5_del
ECA1373-ECA1371,4.162705231058319,-12.906063484771689,21.231473946888325,0.9994462840921667,zinc,q25.TOF,sqst5_del
ECA1377-ECA1371,13.914454937584612,-3.1543137782453954,30.98322365341462,0.2343295331149,zinc,q25.TOF,sqst5_del
ECA1378-ECA1371,-5.528550854765045,-22.650818772918136,11.593717063388048,0.9940906907685874,zinc,q25.TOF,sqst5_del
ECA1379-ECA1371,5.2894186440735504,-11.675889151261352,22.25472643940845,0.9955425441195411,zinc,q25.TOF,sqst5_del
ECA1380-ECA1371,9.210446437293559,-7.754861358041342,26.17575423262846,0.8075855080077549,zinc,q25.TOF,sqst5_del
ECA838-ECA1371,9.570173423165123,-7.446288634978632,26.58663548130888,0.7709885908466114,zinc,q25.TOF,sqst5_del
ECA859-ECA1371,-61.407504395301224,-79.14072586008248,-43.674282930519965,3.588240815588506e-13,zinc,q25.TOF,sqst5_del
N2-ECA1371,-2.1005992764634964,-19.169367992293502,14.96816943936651,0.9999990717373703,zinc,q25.TOF,sqst5_del
ECA1373-ECA1372,-4.005420286099428,-20.63308286228017,12.622242290081312,0.9995034192839165,zinc,q25.TOF,sqst5_del
ECA1377-ECA1372,5.746329420426866,-10.881333155753873,22.373991996607607,0.9899203062370927,zinc,q25.TOF,sqst5_del
ECA1378-ECA1372,-13.696676371922791,-30.379252789665912,2.9859000458203298,0.2250486742467468,zinc,q25.TOF,sqst5_del
ECA1379-ECA1372,-2.8787068730841963,-19.400146455132585,13.642732708964195,0.9999742817172235,zinc,q25.TOF,sqst5_del
ECA1380-ECA1372,1.042320920135813,-15.479118661912578,17.563760502184202,0.9999999986944248,zinc,q25.TOF,sqst5_del
ECA838-ECA1372,1.4020479060073772,-15.171915960523473,17.97601177253823,0.9999999762660595,zinc,q25.TOF,sqst5_del
ECA859-ECA1372,-69.57562991245898,-86.8846865242967,-52.26657330062126,3.164135620181696e-13,zinc,q25.TOF,sqst5_del
N2-ECA1372,-10.268724793621244,-26.896387369801985,6.3589377825594955,0.6537767448911428,zinc,q25.TOF,sqst5_del
ECA1377-ECA1373,9.751749706526294,-7.032044582122683,26.53554399517527,0.7334176080476491,zinc,q25.TOF,sqst5_del
ECA1378-ECA1373,-9.691256085823364,-26.529455036726738,7.146942865080009,0.7447026004867447,zinc,q25.TOF,sqst5_del
ECA1379-ECA1373,1.1267134130152314,-15.551852287896821,17.805279113927284,0.9999999974284733,zinc,q25.TOF,sqst5_del
ECA1380-ECA1373,5.047741206235241,-11.630824494676812,21.726306907147293,0.9965032778994979,zinc,q25.TOF,sqst5_del
ECA838-ECA1373,5.407468192106805,-11.32312851648177,22.13806490069538,0.9940434909776291,zinc,q25.TOF,sqst5_del
ECA859-ECA1373,-65.57020962635954,-83.02930550123713,-48.11111375148195,3.1652458432063213e-13,zinc,q25.TOF,sqst5_del
N2-ECA1373,-6.2633045075218154,-23.047098796170793,10.52048978112716,0.9819915307629091,zinc,q25.TOF,sqst5_del
ECA1378-ECA1377,-19.44300579234966,-36.28120474325303,-2.604806841446287,0.009429316559880219,zinc,q25.TOF,sqst5_del
ECA1379-ECA1377,-8.625036293511062,-25.303601994423115,8.05352940740099,0.8509458494041762,zinc,q25.TOF,sqst5_del
ECA1380-ECA1377,-4.704008500291053,-21.382574201203106,11.974557200621,0.9980568730825192,zinc,q25.TOF,sqst5_del
ECA838-ECA1377,-4.344281514419489,-21.074878223008064,12.386315194169086,0.9990420170342329,zinc,q25.TOF,sqst5_del
ECA859-ECA1377,-75.32195933288584,-92.78105520776343,-57.86286345800825,3.164135620181696e-13,zinc,q25.TOF,sqst5_del
N2-ECA1377,-16.01505421404811,-32.79884850269708,0.768740074600867,0.07694763876729271,zinc,q25.TOF,sqst5_del
ECA1379-ECA1378,10.817969498838595,-5.915342995289921,27.551281992967112,0.5872556738726267,zinc,q25.TOF,sqst5_del
ECA1380-ECA1378,14.738997292058604,-1.9943152020699113,31.472309786187118,0.1438605958685416,zinc,q25.TOF,sqst5_del
ECA838-ECA1378,15.098724277930168,-1.686449519560055,31.88389807542039,0.12361073286822566,zinc,q25.TOF,sqst5_del
ECA859-ECA1378,-55.87895354053618,-73.39035616724445,-38.36755091382791,4.2321701698710967e-13,zinc,q25.TOF,sqst5_del
N2-ECA1378,3.427951578301548,-13.410247372601823,20.26615052920492,0.999891006834007,zinc,q25.TOF,sqst5_del
ECA1380-ECA1379,3.9210277932200093,-12.651641181800095,20.493696768240113,0.9995765783057249,zinc,q25.TOF,sqst5_del
ECA838-ECA1379,4.280754779091573,-12.34427662964233,20.905786187825477,0.9991093592222942,zinc,q25.TOF,sqst5_del
ECA859-ECA1379,-66.69692303937478,-84.05488466751885,-49.33896141123072,3.1652458432063213e-13,zinc,q25.TOF,sqst5_del
N2-ECA1379,-7.390017920537047,-24.0685836214491,9.288547780375005,0.9406879748032938,zinc,q25.TOF,sqst5_del
ECA838-ECA1380,0.35972698587156415,-16.26530442286234,16.984758394605468,1,zinc,q25.TOF,sqst5_del
ECA859-ECA1380,-70.61795083259479,-87.97591246073884,-53.259989204450726,3.164135620181696e-13,zinc,q25.TOF,sqst5_del
N2-ECA1380,-11.311045713757057,-27.98961141466911,5.367519987154996,0.5133789184981459,zinc,q25.TOF,sqst5_del
ECA859-ECA838,-70.97767781846635,-88.38563991257479,-53.569715724357906,3.164135620181696e-13,zinc,q25.TOF,sqst5_del
N2-ECA838,-11.670772699628621,-28.401369408217196,5.0598240089599535,0.4686996857953051,zinc,q25.TOF,sqst5_del
N2-ECA859,59.30690511883773,41.84780924396014,76.76600099371532,3.8768988019910466e-13,zinc,q25.TOF,sqst5_del
